,Unnamed: 0,Bus_Route,Direction,Route_Direction,Departure_Terminal,Departure_Time,Arrival_Terminal,Arrival_Time,Distance_km,Runtime_mins,fare
0,0,101,Outbound,101Outbound,CBD,2023-08-05 06:00:00.000000,Remera Taxi Park,2023-08-05 06:38:35.000000,9.676827161054028,38.58333333333333,220
1,1,101,Outbound,101Outbound,CBD,2023-08-05 06:20:00.000000,Remera Taxi Park,2023-08-05 06:58:35.000000,9.676827161054028,38.58333333333333,220
2,2,101,Outbound,101Outbound,CBD,2023-08-05 06:40:00.000000,Remera Taxi Park,2023-08-05 07:18:35.000000,9.676827161054028,38.58333333333333,220
3,3,101,Outbound,101Outbound,CBD,2023-08-05 07:00:00.000000,Remera Taxi Park,2023-08-05 07:38:35.000000,9.676827161054028,38.58333333333333,220
4,4,101,Outbound,101Outbound,CBD,2023-08-05 07:20:00.000000,Remera Taxi Park,2023-08-05 07:58:35.000000,9.676827161054028,38.58333333333333,220
5,5,101,Outbound,101Outbound,CBD,2023-08-05 07:40:00.000000,Remera Taxi Park,2023-08-05 08:18:35.000000,9.676827161054028,38.58333333333333,220
6,6,101,Outbound,101Outbound,CBD,2023-08-05 08:00:00.000000,Remera Taxi Park,2023-08-05 08:38:35.000000,9.676827161054028,38.58333333333333,220
7,7,101,Outbound,101Outbound,CBD,2023-08-05 08:20:00.000000,Remera Taxi Park,2023-08-05 08:58:35.000000,9.676827161054028,38.58333333333333,220
8,8,101,Outbound,101Outbound,CBD,2023-08-05 08:40:00.000000,Remera Taxi Park,2023-08-05 09:18:35.000000,9.676827161054028,38.58333333333333,220
9,9,101,Outbound,101Outbound,CBD,2023-08-05 09:00:00.000000,Remera Taxi Park,2023-08-05 09:38:35.000000,9.676827161054028,38.58333333333333,220
10,10,101,Outbound,101Outbound,CBD,2023-08-05 09:20:00.000000,Remera Taxi Park,2023-08-05 09:58:35.000000,9.676827161054028,38.58333333333333,220
11,11,101,Outbound,101Outbound,CBD,2023-08-05 09:40:00.000000,Remera Taxi Park,2023-08-05 10:18:35.000000,9.676827161054028,38.58333333333333,220
12,12,101,Outbound,101Outbound,CBD,2023-08-05 10:00:00.000000,Remera Taxi Park,2023-08-05 10:38:35.000000,9.676827161054028,38.58333333333333,220
13,13,101,Outbound,101Outbound,CBD,2023-08-05 10:20:00.000000,Remera Taxi Park,2023-08-05 10:58:35.000000,9.676827161054028,38.58333333333333,220
14,14,101,Outbound,101Outbound,CBD,2023-08-05 10:40:00.000000,Remera Taxi Park,2023-08-05 11:18:35.000000,9.676827161054028,38.58333333333333,220
15,15,101,Outbound,101Outbound,CBD,2023-08-05 11:00:00.000000,Remera Taxi Park,2023-08-05 11:38:35.000000,9.676827161054028,38.58333333333333,220
16,16,101,Outbound,101Outbound,CBD,2023-08-05 11:20:00.000000,Remera Taxi Park,2023-08-05 11:58:35.000000,9.676827161054028,38.58333333333333,220
17,17,101,Outbound,101Outbound,CBD,2023-08-05 11:40:00.000000,Remera Taxi Park,2023-08-05 12:18:35.000000,9.676827161054028,38.58333333333333,220
18,18,101,Outbound,101Outbound,CBD,2023-08-05 12:00:00.000000,Remera Taxi Park,2023-08-05 12:38:35.000000,9.676827161054028,38.58333333333333,220
19,19,101,Outbound,101Outbound,CBD,2023-08-05 12:20:00.000000,Remera Taxi Park,2023-08-05 12:58:35.000000,9.676827161054028,38.58333333333333,220
20,20,101,Outbound,101Outbound,CBD,2023-08-05 12:40:00.000000,Remera Taxi Park,2023-08-05 13:18:35.000000,9.676827161054028,38.58333333333333,220
21,21,101,Outbound,101Outbound,CBD,2023-08-05 13:00:00.000000,Remera Taxi Park,2023-08-05 13:38:35.000000,9.676827161054028,38.58333333333333,220
22,22,101,Outbound,101Outbound,CBD,2023-08-05 13:20:00.000000,Remera Taxi Park,2023-08-05 13:58:35.000000,9.676827161054028,38.58333333333333,220
23,23,101,Outbound,101Outbound,CBD,2023-08-05 13:40:00.000000,Remera Taxi Park,2023-08-05 14:18:35.000000,9.676827161054028,38.58333333333333,220
24,24,101,Outbound,101Outbound,CBD,2023-08-05 14:00:00.000000,Remera Taxi Park,2023-08-05 14:38:35.000000,9.676827161054028,38.58333333333333,220
25,25,101,Outbound,101Outbound,CBD,2023-08-05 14:20:00.000000,Remera Taxi Park,2023-08-05 14:58:35.000000,9.676827161054028,38.58333333333333,220
26,26,101,Outbound,101Outbound,CBD,2023-08-05 14:40:00.000000,Remera Taxi Park,2023-08-05 15:18:35.000000,9.676827161054028,38.58333333333333,220
27,27,101,Outbound,101Outbound,CBD,2023-08-05 15:00:00.000000,Remera Taxi Park,2023-08-05 15:38:35.000000,9.676827161054028,38.58333333333333,220
28,28,101,Outbound,101Outbound,CBD,2023-08-05 15:20:00.000000,Remera Taxi Park,2023-08-05 15:58:35.000000,9.676827161054028,38.58333333333333,220
29,29,101,Outbound,101Outbound,CBD,2023-08-05 15:40:00.000000,Remera Taxi Park,2023-08-05 16:18:35.000000,9.676827161054028,38.58333333333333,220
30,30,101,Outbound,101Outbound,CBD,2023-08-05 16:00:00.000000,Remera Taxi Park,2023-08-05 16:38:35.000000,9.676827161054028,38.58333333333333,220
31,31,101,Outbound,101Outbound,CBD,2023-08-05 16:20:00.000000,Remera Taxi Park,2023-08-05 16:58:35.000000,9.676827161054028,38.58333333333333,220
32,32,101,Outbound,101Outbound,CBD,2023-08-05 16:40:00.000000,Remera Taxi Park,2023-08-05 17:18:35.000000,9.676827161054028,38.58333333333333,220
33,33,101,Outbound,101Outbound,CBD,2023-08-05 17:00:00.000000,Remera Taxi Park,2023-08-05 17:38:35.000000,9.676827161054028,38.58333333333333,220
34,34,101,Outbound,101Outbound,CBD,2023-08-05 17:20:00.000000,Remera Taxi Park,2023-08-05 17:58:35.000000,9.676827161054028,38.58333333333333,220
35,35,101,Outbound,101Outbound,CBD,2023-08-05 17:40:00.000000,Remera Taxi Park,2023-08-05 18:18:35.000000,9.676827161054028,38.58333333333333,220
36,36,101,Outbound,101Outbound,CBD,2023-08-05 18:00:00.000000,Remera Taxi Park,2023-08-05 18:38:35.000000,9.676827161054028,38.58333333333333,220
37,37,101,Outbound,101Outbound,CBD,2023-08-05 18:20:00.000000,Remera Taxi Park,2023-08-05 18:58:35.000000,9.676827161054028,38.58333333333333,220
38,38,101,Outbound,101Outbound,CBD,2023-08-05 18:40:00.000000,Remera Taxi Park,2023-08-05 19:18:35.000000,9.676827161054028,38.58333333333333,220
39,39,101,Outbound,101Outbound,CBD,2023-08-05 19:00:00.000000,Remera Taxi Park,2023-08-05 19:38:35.000000,9.676827161054028,38.58333333333333,220
40,40,101,Outbound,101Outbound,CBD,2023-08-05 19:20:00.000000,Remera Taxi Park,2023-08-05 19:58:35.000000,9.676827161054028,38.58333333333333,220
41,41,101,Outbound,101Outbound,CBD,2023-08-05 19:40:00.000000,Remera Taxi Park,2023-08-05 20:18:35.000000,9.676827161054028,38.58333333333333,220
42,42,101,Outbound,101Outbound,CBD,2023-08-05 20:00:00.000000,Remera Taxi Park,2023-08-05 20:38:35.000000,9.676827161054028,38.58333333333333,220
43,43,101,Outbound,101Outbound,CBD,2023-08-05 20:20:00.000000,Remera Taxi Park,2023-08-05 20:58:35.000000,9.676827161054028,38.58333333333333,220
44,44,101,Outbound,101Outbound,CBD,2023-08-05 20:40:00.000000,Remera Taxi Park,2023-08-05 21:18:35.000000,9.676827161054028,38.58333333333333,220
45,45,101,Outbound,101Outbound,CBD,2023-08-05 21:00:00.000000,Remera Taxi Park,2023-08-05 21:38:35.000000,9.676827161054028,38.58333333333333,220
46,46,101,Outbound,101Outbound,CBD,2023-08-05 21:20:00.000000,Remera Taxi Park,2023-08-05 21:58:35.000000,9.676827161054028,38.58333333333333,220
47,47,101,Outbound,101Outbound,CBD,2023-08-05 21:40:00.000000,Remera Taxi Park,2023-08-05 22:18:35.000000,9.676827161054028,38.58333333333333,220
48,48,101,Outbound,101Outbound,CBD,2023-08-05 22:00:00.000000,Remera Taxi Park,2023-08-05 22:38:35.000000,9.676827161054028,38.58333333333333,220
49,49,101,Outbound,101Outbound,CBD,2023-08-05 22:20:00.000000,Remera Taxi Park,2023-08-05 22:58:35.000000,9.676827161054028,38.58333333333333,220
50,50,101,Outbound,101Outbound,CBD,2023-08-05 22:40:00.000000,Remera Taxi Park,2023-08-05 23:18:35.000000,9.676827161054028,38.58333333333333,220
51,51,101,Outbound,101Outbound,CBD,2023-08-05 23:00:00.000000,Remera Taxi Park,2023-08-05 23:38:35.000000,9.676827161054028,38.58333333333333,220
52,54,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 06:00:00.000000,CBD,2023-08-05 06:44:46.000000,13.832056815212995,44.766666666666666,220
53,55,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 06:20:00.000000,CBD,2023-08-05 07:04:46.000000,13.832056815212995,44.766666666666666,220
54,56,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 06:40:00.000000,CBD,2023-08-05 07:24:46.000000,13.832056815212995,44.766666666666666,220
55,57,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 07:00:00.000000,CBD,2023-08-05 07:44:46.000000,13.832056815212995,44.766666666666666,220
56,58,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 07:20:00.000000,CBD,2023-08-05 08:04:46.000000,13.832056815212995,44.766666666666666,220
57,59,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 07:40:00.000000,CBD,2023-08-05 08:24:46.000000,13.832056815212995,44.766666666666666,220
58,60,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 08:00:00.000000,CBD,2023-08-05 08:44:46.000000,13.832056815212995,44.766666666666666,220
59,61,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 08:20:00.000000,CBD,2023-08-05 09:04:46.000000,13.832056815212995,44.766666666666666,220
60,62,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 08:40:00.000000,CBD,2023-08-05 09:24:46.000000,13.832056815212995,44.766666666666666,220
61,63,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 09:00:00.000000,CBD,2023-08-05 09:44:46.000000,13.832056815212995,44.766666666666666,220
62,64,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 09:20:00.000000,CBD,2023-08-05 10:04:46.000000,13.832056815212995,44.766666666666666,220
63,65,101,Inbound,101Inbound,Remera Taxi Park,2023-08-05 09:40:00.000000,CBD,2023-08-05 10:24:46.000000,13.832056815212995,44.766666666666666,220
